,model,alpha,CountVectorizer,TfidfVectorizer,text,score
0,MultinomialNB,1.0,1,0,original,0.9568430553988492
1,MultinomialNB,0.3,1,0,original,0.9574071984655309
2,MultinomialNB,1.0,0,1,original,0.9586483132122307
3,MultinomialNB,0.6,0,1,original,0.9595509421189213
